;Required skill
1451;настройка по
1452;windows 7
1453;пользователь пк
1454;internet
1455;ms movie maker
1456;ms dos
1457;1с программирование
1458;управление проектами
1459;1с: комплексная автоматизация
1460;uml
1461;bpmn
1462;idef
1463;ms powerpoint
1464;финансовый анализ
1465;подготовка презентаций
1466;финансовая отчетность
1467;прогнозирование
1468;оптимизация бизнес-процессов
1469;автоматизация процессов управления персоналом
1470;управление проектами
1471;ведение переговоров
1472;реинжиниринг бизнес-процессов
1473;руковдитель проекта
1474;прямые продажи
1475;активные продажи
1476;b2b продажи
1477;развитие продаж
1478;проведение презентаций
1479;деловая переписка
1480;системы безопасности
1481;ведение переговоров
1482;поиск и привлечение клиентов
1483;организаторские навыки
1484;телефонные переговоры
1485;навыки продаж
1486;навыки презентации
1487;заключение договоров
1488;информационные технологии
1489;электронный документооборот
1490;навыки переговоров
1491;edi
1492;управление проектами
1493;ms excel
1494;b2b продажи
1495;заключение договоров
1496;асу тп
1497;асу эр
1498;это
1499;се
1500;активные продажи
1501;развитие продаж
1502;нефтегазовое оборудование
1503;проведение презентаций
1504;1с программирование
1505;консультирование
1506;1с: документооборот
1507;обновление конфигурации 1с
1508;обучаемость
1509;1с программирование
1510;java
1511;hibernate orm
1512;spring framework
1513;java
1514;xml
1515;html
1516;английский язык
1517;работа в команде
1518;обучение и развитие
1519;информационные технологии
1520;администрирование серверов windows
1521;информационная безопасность
1522;настройка dns
1523;администрирование сетевого оборудования
1524;windows 7
1525;умение работать в команде
1526;windows 7
1527;статистический анализ
1528;пользователь пк
1529;работа в команде
